country_code,city,funding_total_usd,funding_rounds,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,company_count,Latitude,Longitude
USA,Westminster,232632681,37,26069.0,3244000,217338681,50000,0,0,12000000,0,0,0,0,0,0,0,33100000,58200000,64000000,0,0,0,0,0,16,39.836652799999996,-105.03720459999998
USA,Westmont,1170000,2,2007.0,0,1170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.79586389999999,-87.9756175
USA,Weston,58108723,21,20041.0,3590511,16897886,0,0,0,5620326,0,0,32000000,0,0,0,0,0,0,0,4850000,0,0,0,0,12,26.100365399999998,-80.3997748
USA,Westport,820863615,22,22100.0,1250000,77670037,0,0,0,16043578,700000,200000,0,0,725000000,0,0,3100000,13000000,25500000,0,0,0,0,0,15,41.141471700000004,-73.35790490000002
USA,Westwood,55079137,14,14027.0,500000,52579137,0,0,0,1900000,100000,0,0,0,0,0,0,0,0,12000000,0,0,0,0,0,8,42.21398730000001,-71.22449870000001
USA,Wethersfield,6650000,2,2011.0,1450000,5200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.7063537,-72.65962440000001
USA,Wexford,26150619,18,14041.0,1379879,21439820,0,0,0,900920,2430000,0,0,0,0,0,0,4000000,0,0,0,0,0,0,0,8,40.6266318,-80.05497679999998
USA,Weymouth,2165000,3,4024.0,1125000,1000000,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42.2180724,-70.94103559999998
USA,Wheat Ridge,42661448,13,7994.0,0,39411448,0,0,0,3000000,0,250000,0,0,0,0,0,4000000,13924000,8250000,6300000,0,0,0,0,4,39.766098,-105.07720630000001
USA,Whippany,31000000,3,0.0,0,31000000,0,0,0,0,0,0,0,0,0,0,0,0,0,31000000,0,0,0,0,0,1,40.8254055,-74.4022355
USA,White Bear Lake,2693860,4,2011.0,0,1593860,0,0,0,500000,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45.0853814,-93.00814790000001
USA,White Plains,103657879,17,12052.0,950000,83667879,0,0,150000,15575000,0,2015000,1300000,0,0,0,0,11500000,16900000,0,0,0,0,0,0,9,41.03398620000001,-73.76290970000002
USA,White River Junction,4250000,2,1998.0,0,2500000,0,0,0,1750000,0,0,0,0,0,0,0,0,0,0,2500000,0,0,0,0,2,43.64895960000001,-72.3192579
USA,Whitehouse,350000,1,2009.0,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.518941299999994,-83.80382840000001
USA,Whitewater,2290500,7,4018.0,18000,1486000,0,0,0,0,776500,10000,0,0,0,0,0,1486000,0,0,0,0,0,0,0,2,42.83362049999999,-88.7323272
USA,Whiting,54000000,1,2003.0,0,54000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.6797578,-87.4944873
USA,Whitinsville,3894581,5,2008.0,0,3794581,0,0,0,100000,0,0,0,0,0,0,0,1100000,0,0,0,0,0,0,0,1,42.1112075,-71.6661783
USA,Wichita,5472500,3,6032.0,0,5372500,0,0,0,100000,0,0,0,0,0,0,0,0,1750000,0,0,0,0,0,0,3,37.68717609999999,-97.330053
USA,Wilberforce,2000000,1,0.0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.716171,-83.8777063
USA,Wilbraham,45098871,2,4000.0,0,45098871,0,0,0,0,0,0,0,0,0,0,0,10598871,34500000,0,0,0,0,0,0,2,42.1237206,-72.431586
USA,Wilkes Barre,17665000,5,6019.0,1000000,0,0,0,0,1565000,100000,0,15000000,0,0,0,0,0,0,0,0,0,0,0,0,4,41.245914899999995,-75.88130749999998
USA,Williamsburg,9228749,4,2010.0,0,8560003,0,0,0,668746,0,0,0,0,0,0,0,0,3000000,0,0,0,0,0,0,2,37.2707022,-76.7074571
USA,Williamsport,20000,1,0.0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.24118970000001,-77.00107860000001
USA,Williamstown,14346022,7,2002.0,0,9550000,0,0,0,0,0,0,0,4796022,0,0,0,1250000,0,0,8100000,0,0,0,0,2,42.7120196,-73.20368979999998
USA,Williston,3847399,7,8035.0,378000,3369399,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,44.4454432,-73.099194
USA,Willoughby,12785029,7,2008.0,275000,10760029,0,0,0,1750000,0,0,0,0,0,0,0,5100000,4000000,0,0,0,0,0,0,1,41.6397696,-81.4065011
USA,Willow Grove,3102770,3,1987.0,0,3102770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40.1439985,-75.1157286
USA,Willowbrook,12015176,6,8023.0,400000,10615176,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,41.7697533,-87.9358931
USA,Wilmette,224999,1,0.0,0,224999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.0722513,-87.72283840000001
USA,Wilmington,628936632,87,74187.0,13854180,303614952,300000,0,5550000,24804406,1600000,34213094,245000000,0,0,0,0,20258000,25000000,14200000,0,0,0,0,0,53,34.2103894,-77.88681170000002
USA,Wilsonville,20410870,6,6028.0,20000,365870,0,0,0,125000,0,0,0,0,19900000,0,0,290870,0,0,0,0,0,0,0,4,45.3029903,-122.77265009999999
USA,Wilton,8540000,3,6008.0,40000,8500000,0,0,0,0,0,0,0,0,0,0,0,3500000,0,0,0,0,0,0,0,3,41.1953739,-73.4378988
USA,Windber,200000,1,0.0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40.2397986,-78.8350223
USA,Windermere,31757950,6,4021.0,0,3500000,0,0,0,26757950,1500000,0,0,0,0,0,0,3500000,0,0,0,0,0,0,0,3,28.4955593,-81.53479519999998
USA,Windsor,92150000,6,4014.0,10000000,82100000,0,0,0,0,50000,0,0,0,0,0,0,25000000,33000000,24000000,0,0,0,0,0,2,40.4774818,-104.90136170000001
USA,Winkelman,253000,2,4018.0,3000,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32.9875659,-110.77093870000002
USA,Winnetka,392500,2,2011.0,392500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.10808340000001,-87.735895
USA,Winooski,61000000,2,1999.0,0,13000000,0,0,0,0,0,0,48000000,0,0,0,0,0,0,0,0,0,0,0,0,1,44.491438,-73.1856832
USA,Winston Salem,121016317,13,13969.0,518885,108289939,0,0,0,12207493,0,0,0,0,0,0,0,0,4300000,0,0,0,0,0,0,8,36.09985959999999,-80.24421600000002
